film,main_char,gender,lines_ratio,sentiment_score,main_network_ratio,main_intxn_ratio
Rabid,ROSE,1.0,0.1226215644820296,-0.004735172413793101,0.3333333333333333,0.5446428571428571
Rabid,CYPHER,1.0,0.07822410147991543,0.05078461538461539,0.38461538461538464,0.6875
Rabid,WALSH,1.0,0.0507399577167019,0.05858909090909092,0.625,0.6086956521739131
Next (2007 film),CRIS,1.0,0.2904820766378245,0.017194883303411138,0.07142857142857142,0.6613333333333333
Next (2007 film),LIZ,1.0,0.19530284301606923,0.00637826887661142,0.13043478260869565,0.8571428571428571
Next (2007 film),FERRIS,0.0,0.1557478368355995,0.013172945638432363,0.07692307692307693,0.30851063829787234
Saga of a Star World,SKYLER,1.0,0.141804788213628,0.0,0.04819277108433735,0.4627906976744186
Saga of a Star World,STARBUCK,0.0,0.1368937998772253,0.0,0.05194805194805195,0.42401960784313725
Saga of a Star World,ADAMA,0.0,0.09392265193370165,0.0,0.06779661016949153,0.21481481481481482
Saga of a Star World,LYRA,1.0,0.04542664211172499,0.0,0.15384615384615385,0.48333333333333334
Roughshod (film),CLAY,1.0,0.23326771653543307,-0.005455841371918541,0.08888888888888889,0.6361386138613861
Roughshod (film),MARY,1.0,0.1889763779527559,0.030669473684210573,0.16,0.7261146496815286
Roughshod (film),STEVE,0.0,0.12893700787401574,0.03260390455531453,0.21052631578947367,0.7719298245614035
Roughshod (film),HELEN,1.0,0.07381889763779527,0.013710738255033562,0.25,0.4375
Rachel Getting Married,KYM,0.0,0.2922705314009662,0.030335458612975374,0.075,0.4688995215311005
Rachel Getting Married,RACHEL,1.0,0.18115942028985507,0.020917791411042937,0.16666666666666666,0.6268115942028986
Rachel Getting Married,PAUL,0.0,0.13647342995169082,0.013052493438320205,0.13636363636363635,0.5642201834862385
LAvventura,SANDRO,1.0,0.23056300268096513,0.04328892045454546,0.10344827586206896,0.49019607843137253
LAvventura,CLAUDIA,1.0,0.20107238605898123,0.04201194539249151,0.16666666666666666,0.6360153256704981
