film,main_char,degree,betweenness
Rent (film),ROGER,1.8825232475537952,1.5105643387384753
Rent (film),MARK,3.580768787573534,4.072024451367415
Rent (film),MIMI,1.5428741395498478,-0.02911463203509942
Rent (film),COLLINS,2.901470571565639,1.7703061741239219
Rent (film),JOANNE,0.8635759235419522,-0.29482505789108554
Rent (film),MAUREEN,1.5428741395498478,1.8248169446807383
Rent (film),BENNY,0.8635759235419522,-0.3735533789281551
Rent (film),ANGEL,0.8635759235419522,2.079042598902036
Its Complicated (film),JANE,3.6166967464852715,4.461885689198521
Its Complicated (film),JAKE,2.2813010247060945,1.5302282039349233
Its Complicated (film),ADAM,0.5007733956671916,-0.09835064173908213
Gone in 60 Seconds (2000 film),MEMPHIS,3.393510409269794,5.024870431055496
Gone in 60 Seconds (2000 film),KIP,1.8139855642278535,1.1607735097298426
Sugar (2008 film),MIGUEL,5.306725866446597,6.347252815344336
Remember Me (2010 film),TYLER,3.3918539921154736,4.020775572194452
Remember Me (2010 film),ALLY,1.7563519484113381,0.792544208376395
Remember Me (2010 film),AIDAN,2.22363824661252,2.3152003517143314
The Godfather Part II,MICHAEL,5.919943162856276,7.114382000751182
The Godfather Part II,HAGEN,2.669635072207241,1.8064920478183117
The Godfather Part II,FREDO,2.5071196676747896,1.589238310280857
The Godfather Part II,PENTANGELI,1.8570580495449824,1.463243089736713
The Adjustment Bureau,DAVID,4.15182034874566,5.110191528251309
The Adjustment Bureau,ELISE,2.3302707095726625,1.8153988227881364
44 Inch Chest,ARCHIE,2.5142994493181,3.5180707136085494
44 Inch Chest,MAL,1.3992623022292034,0.8977551687235199
44 Inch Chest,COLIN,0.6559042041699391,0.27768049779652776
44 Inch Chest,OMP,0.6559042041699391,0.4243648285534506
44 Inch Chest,MEREDITH,1.0275832531995712,0.4710371156124713
What Lies Beneath,CLAIRE,3.5437465393117096,4.205142299462509
What Lies Beneath,NORMAN,2.5987474621619207,2.109981333916445
Independence Day (1996 film),DAVID,1.5530299323449395,-0.03459271662354657
Independence Day (1996 film),STEVE,2.926480386431578,2.99835029074438
Independence Day (1996 film),PRESIDENT,3.1226875941582404,2.5596688089006663
Independence Day (1996 film),GENERAL GREY,2.730273178704915,3.0456560607965186
Independence Day (1996 film),CONSTANCE,2.1416515555249274,2.3511318256987392
Independence Day (1996 film),MOISHE,2.1416515555249274,0.6593862701914209
Independence Day (1996 film),JASMINE,1.7492371400716018,3.2332797118827425
Independence Day (1996 film),NIMZIKI,0.9644083091649518,0.03077868606685215
Network (film),DIANA,3.8549265210174695,5.790174656386735
Network (film),MAX,1.4615111116671253,1.0349521408258235
Network (film),HOWARD,3.3762434391474008,2.4625918388994896
Network (film),HACKETT,1.7008526526021597,0.38702003886705505
Frances (film),FRANCES,6.659509238871411,7.378604148426964
Frances (film),HARRY,1.3082651249289277,0.12517289695183906
Superman IV: The Quest for Peace,LEX,2.644795843717442,4.436208456546594
Superman IV: The Quest for Peace,CLARK,2.079887993603037,1.9678749333129089
Superman IV: The Quest for Peace,LACY,1.7974340685458343,0.8398313791029279
Superman IV: The Quest for Peace,LOIS,1.7974340685458343,0.7324531494171675
Superman IV: The Quest for Peace,SUPERMAN,1.7974340685458343,1.5493250033002461
Superman IV: The Quest for Peace,LENNY,0.3851644432598217,0.6821415210013232
Lost in America,DAVID,4.638017777100196,4.862871353131219
Lost in America,NANCY,1.2210105739320753,0.3899568214443381
The Hudsucker Proxy,NORVILLE,7.1484522531167904,8.068826091142228
The Hudsucker Proxy,AMY,2.5902193206006685,1.0866164233517757
The Hudsucker Proxy,MUSSBURGER,3.9775076044099227,3.352718213443749
Children of Men,THEO,5.518060645606443,6.61516730633173
Children of Men,KEE,1.5284768924449772,0.4548969318237151
Leaving Las Vegas,BEN,4.942299167942451,5.329617646958534
Leaving Las Vegas,SERA,2.7882704748924727,2.306934934454406
Fright Night,CHARLEY,2.3690812830000696,1.8182239791485753
Fright Night,PETER,2.612063978692384,4.187424921675506
Fright Night,AMY,1.3971505002308102,0.43876580132447174
The Green Mile (film),PAUL,3.702668240337403,5.487022126466708
The Green Mile (film),COFFEY,2.2883864721448672,1.1984549330109229
Who Framed Roger Rabbit,VALIANT,5.383861369929175,6.303611194371013
Who Framed Roger Rabbit,ROGER RABBIT,1.827988500703519,0.5590300664512521
Dexter (episode),DEBRA,2.9591817714964312,3.286580122663219
Dexter (episode),LAGUERTA,0.35619780582827415,-0.0011346729234121325
Dexter (episode),HARRY,0.35619780582827415,-0.33529584886828273
Dexter (episode),RITA,0.35619780582827415,-0.23828131391654614
Star Wars Episode III: Revenge of the Sith,ANAKIN,2.9327976185615325,2.8130895661088893
Star Wars Episode III: Revenge of the Sith,OBI-WAN,3.1220103681461477,3.7736655356950286
Star Wars Episode III: Revenge of the Sith,PADME,1.4190956218846125,0.805836911200927
Star Wars Episode III: Revenge of the Sith,PALPATINE,1.7975211210538427,1.0179494079894844
I Love You Phillip Morris,STEVEN,7.318042015729538,7.544879644489899
I Love You Phillip Morris,PHILLIP,1.5880314888719576,0.9019184513130502
Bad Lieutenant,LT,4.871521319406067,5.074739874737872
Vanilla Sky,DAVID,4.5490862869934245,4.990334536345167
Vanilla Sky,SOFIA,1.2294827802684933,0.3837847164428648
Only You (1994 film),FAITH,4.260528792763412,5.092263472445329
Only You (1994 film),KATE,3.0832774158156275,2.453009768810987
Only You (1994 film),PETER,1.1211917875693191,-0.10944025561706736
Tall in the Saddle,ROCKLIN,3.915577136518448,4.792865338230323
Tall in the Saddle,DAVE,2.561317375015827,2.239810812394885
Tall in the Saddle,ARLY,2.2227524346401717,3.2644227622403075
Station West,HAVEN,4.447952211862861,5.048420679568832
Station West,CHARLIE,1.3228110667250148,0.05591723567301658
Book of Shadows: Blair Witch 2,COTTER,2.2160505543451157,1.576844058364275
Book of Shadows: Blair Witch 2,HEATHER,3.2951708242870854,4.618106055179383
Book of Shadows: Blair Witch 2,NICK,1.4067103518886388,0.1794754323919395
Book of Shadows: Blair Witch 2,ANNA,1.4067103518886388,1.28409592383063
Book of Shadows: Blair Witch 2,DOMINI,0.5973701494321617,-0.1997934058702721
At First Sight,VIRGIL,3.4804438363746497,4.044076737654821
At First Sight,AMY,2.4987801902176967,1.914759384153599
The Iron Lady (film),MARGARET,7.196289081833244,7.395187069290126
The Iron Lady (film),DENIS,0.7016526824349899,0.036512284039203736
Absolute Power (film),LUTHER,2.6910113275247696,3.1092884900615587
Absolute Power (film),SETH,2.6910113275247696,3.2448311337675846
Absolute Power (film),KATE,0.6376804093660592,-0.1320203785992663
Absolute Power (film),RICHMOND,0.9310133976744465,0.37566643172750175
Absolute Power (film),RUSSELL,0.05101443274928497,-0.3882561980459581
Absolute Power (film),WALTER SULLIVAN,0.6376804093660592,-0.23811157750732995
Romeo + Juliet,ROMEO,2.889043162902194,4.093621985397722
Romeo + Juliet,JULIET,0.5948030041269223,-0.3364029424197204
Romeo + Juliet,MERCUTIO,0.3398874309296701,-0.3065104051810853
Romeo + Juliet,BENVOLIO,1.614465296915932,1.5950130383483514
Romeo + Juliet,FATHER LAURENCE,0.8497185773241747,0.11016105053213994
Urban Legend (film),NATALIE,2.6228604585308424,1.8848632835301151
Urban Legend (film),BRENDA,2.6228604585308424,2.5450088534566886
