film,main_char,degree,betweenness
Tall in the Saddle,ROCKLIN,3.663814886003432,5.089713559334442
Station West,HAVEN,4.447952211862861,5.048420679568832
Book of Shadows: Blair Witch 2,COTTER,1.7173928502958167,0.9171897852235935
At First Sight,VIRGIL,3.4804438363746497,4.044076737654821
The Iron Lady (film),MARGARET,6.58446785105633,6.766254757802787
Absolute Power (film),LUTHER,2.7781506088347925,3.071502123016025
Romeo + Juliet,ROMEO,2.889043162902194,4.093621985397722
Urban Legend (film),NATALIE,2.6228604585308424,1.8848632835301151
Nine (2009 live-action film),GUIDO,5.794287746721186,6.473790084742788
Dracula (1958 film),HELSING,2.444576596944955,3.3844521291694125
Jay and Silent Bob Strike Back,JAY,6.422664427116258,7.149132797530764
The Exorcist (film),CHRIS,3.3374501093384503,3.841748654044079
V for Vendetta (film),EVEY,2.1804926596751932,3.5299094923545558
A Nightmare on Elm Street 2: Freddys Revenge,JESSE,3.120757990421976,3.3460639893766513
Solaris (2002 film),KELVIN,1.940989917661891,2.761582935032858
Spaceballs,LONE,3.9327107783284414,5.159359605554489
Pie-lette,NED,2.2010954768756386,1.633258582622847
Monty Pythons The Meaning of Life,Ainsworth,2.499990769781742,0.17723924216807624
The Fabulous Baker Boys,JACK,3.779820504420992,4.464015730902643
Heat (1995 film),NEIL,4.962794429280473,5.585695062341808
Solarbabies,Jason,1.8962448894726294,2.3715206334444847
Starman (film),JENNY,3.293547878370473,2.791174195805799
The Godfather Part III,TONY,6.721006137330646,7.8905791859653815
The Family Man,JACK,5.036056342876243,5.158715789236231
The King of Comedy (1983 film),PUPKIN,5.524373538994235,6.131577981700371
Batman Returns,PENGUIN,2.819304285798503,3.98900110347031
From Dusk till Dawn,SETH,3.258824142652384,4.60720805776996
12 and Holding,JACOB,1.6290629680421054,2.107384225388644
The Witching Hour (film),ROWAN,3.706153285335596,4.543954668503122
The Silence of the Lambs (film),CLARICE,5.4491451220307665,6.361602092917068
The Grudge,KAREN,2.452926246767691,3.3210984452888535
Horrible Bosses,KURT,2.970390657682651,3.704222129268286
The Terminator,SARAH,4.821442930707844,5.192802645563289
Scary Movie,CINDY,4.730712737732457,6.010534078648454
The Sandlot,SCOTTY,1.9690105445814505,0.6511269274006509
Jaws 2,BRODY,3.564995143333473,5.88932521672565
Reservoir Dogs,MR. WHITE,1.4316955035478416,0.7021415971959982
Even Cowgirls Get the Blues (film),SISSY,3.9984871479774835,4.38472272918646
