film,main_char,gender,top_topic
Monty Pythons The Meaning of Life,hymie,0.0,6
Monty Pythons The Meaning of Life,martin luther,0.0,9
Monty Pythons The Meaning of Life,biggs,0.0,9
Monty Pythons The Meaning of Life,mamie,1.0,24
Monty Pythons The Meaning of Life,grim reaper,0.0,3
Monty Pythons The Meaning of Life,first man,0.0,5
Monty Pythons The Meaning of Life,mrs bloke,1.0,9
Monty Pythons The Meaning of Life,angela,1.0,9
Monty Pythons The Meaning of Life,perkins,0.0,6
Monty Pythons The Meaning of Life,waiter,1.0,3
The Fabulous Baker Boys,jack,0.0,18
The Fabulous Baker Boys,frank,0.0,18
The Fabulous Baker Boys,susie,1.0,18
Heat (1995 film),neil,0.0,6
Heat (1995 film),hanna,0.0,6
Solarbabies,jason,0.0,6
Solarbabies,tara,1.0,6
Solarbabies,metron,0.0,6
Solarbabies,daniel,0.0,6
Solarbabies,rabbit,1.0,6
Solarbabies,tug,1.0,1
Starman (film),jenny,1.0,19
Starman (film),star man,0.0,19
The Godfather Part III,tony,0.0,9
The Godfather Part III,i,1.0,8
The Family Man,jack,0.0,18
The Family Man,kate,1.0,18
The King of Comedy (1983 film),pupkin,0.0,9
The King of Comedy (1983 film),rita,0.0,8
Batman Returns,penguin,0.0,6
Batman Returns,selina,1.0,6
Batman Returns,max,0.0,6
Batman Returns,bruce,0.0,6
Batman Returns,catwoman,1.0,9
From Dusk till Dawn,seth,0.0,23
From Dusk till Dawn,jacob,0.0,6
From Dusk till Dawn,richard,0.0,6
12 and Holding,jacob,0.0,6
12 and Holding,malee,1.0,8
12 and Holding,leonard,0.0,6
12 and Holding,kenny,0.0,6
12 and Holding,gus,0.0,8
12 and Holding,grace,1.0,8
The Witching Hour (film),rowan,0.0,9
The Witching Hour (film),michael,0.0,9
The Silence of the Lambs (film),clarice,1.0,25
The Silence of the Lambs (film),dr. lecter,0.0,3
The Silence of the Lambs (film),crawford,1.0,11
The Grudge,karen,1.0,25
The Grudge,matthew,0.0,18
